"","place","musher","musherName","enRoute_Yentna","restTime_Yentna","enRoute_Skwentna","restTime_Skwentna","enRoute_Finger.Lake","restTime_Finger.Lake","enRoute_Rainy.Pass","restTime_Rainy.Pass","enRoute_Rohn","restTime_Rohn","enRoute_Nikolai","restTime_Nikolai","enRoute_McGrath","restTime_McGrath","enRoute_Takotna","restTime_Takotna","enRoute_Ophir","restTime_Ophir","enRoute_Iditarod","restTime_Iditarod","enRoute_Shageluk","restTime_Shageluk","enRoute_Anvik","restTime_Anvik","enRoute_Grayling","restTime_Grayling","enRoute_Eagle.Island","restTime_Eagle.Island","enRoute_Kaltag","restTime_Kaltag","enRoute_Unalakleet","restTime_Unalakleet","enRoute_Shaktoolik","restTime_Shaktoolik","enRoute_Koyuk","restTime_Koyuk","enRoute_Elim","restTime_Elim","enRoute_White.Mountain","restTime_White.Mountain","enRoute_Safety","restTime_Safety","enRoute_Nome"
"1",1,"Mitch Seavey","MitchSeavey",13680,17640,40680,44580,59820,73440,85440,99000,113280,118080,164520,179040,199500,203160,211020,301140,310320,314400,360600,375720,402660,431520,442380,446040,454920,467520,493500,508440,541860,559680,605220,623040,626700,630360,689880,702960,729120,739980,767220,796080,819240,822900,833820
"2",2,"Aliy Zirkle","AliyZirkle",13680,17580,28080,41700,57480,61200,73740,94680,109680,114000,162720,177780,199620,203280,211500,302700,311700,315840,372000,376200,414000,418500,430200,433860,443040,471900,499980,514920,558180,562920,629460,644520,666600,678420,700740,714840,741180,747360,772500,801360,825180,828840,839700
"3",3,"Jeff King","JeffKing",13980,17940,28560,47760,62940,69420,81480,97380,112500,117180,168120,193620,213720,217440,225540,243300,252480,256680,315240,407520,432360,436020,446100,459240,468240,473160,499740,529860,563280,580680,622140,635040,657420,668400,690240,694200,738000,750120,775200,804060,828240,831900,841800
"4",4,"Dallas Seavey","DallasSeavey",14580,18660,42900,46800,62820,77280,89640,104100,119880,124020,171960,186720,207120,210840,218880,311040,320220,324180,374640,388920,415560,444420,455760,460080,468900,484080,509520,524580,563220,567480,636840,651180,671640,682740,704400,720000,742800,752580,776220,805080,828300,831960,841680
"5",5,"Ray Redington Jr","RayRedingtonJr",13920,17880,28740,44880,60960,65100,77700,96960,112200,117180,165060,182760,203820,207540,216000,304200,314580,318720,367080,381960,409560,438420,449640,453360,462660,480120,505620,520320,552420,571620,615840,632580,654840,664740,687060,701400,727620,743460,768780,797700,822360,826200,836760
"6",6,"Nicolas Petit","NicolasPetit",14460,18420,33120,46860,63120,67260,79860,98280,113220,118860,165420,189720,210120,214620,222780,227220,236880,329400,366120,381780,408660,412920,425220,454080,463500,468720,497040,517380,562980,585180,635460,666060,685980,694440,715440,731160,753480,757500,780840,809700,832620,836280,846780
"7",7,"Joar Leifseth Ulsom","JoarLeifsethUlsom",15120,18900,30660,43740,59400,69240,81720,96000,111660,131040,162240,178680,199320,203040,211620,302220,311700,315600,361980,377400,404400,408360,420000,448860,458160,462360,490620,507900,542580,557040,616080,629760,653820,663540,689640,707220,734640,746400,771480,800340,827220,830880,840960
"8",8,"Jake Berkowitz","JakeBerkowitz",15240,19320,40680,44580,60360,71100,84360,99000,115500,119580,164160,182100,202020,205680,213360,217080,226200,315360,363660,374760,402600,417120,428220,431880,439980,468900,494580,509040,542700,558660,615540,638160,659700,673440,695280,709740,735360,749580,774120,802980,829320,832980,843120
"9",9,"Sonny Lindner","SonnyLindner",14040,17760,39120,43020,58380,72720,86040,92880,107940,123600,159960,176940,198240,209520,217440,221160,230700,240960,291420,377880,404520,415140,425580,429240,437820,466680,493200,507960,542100,555660,616320,633360,655320,666720,689160,703680,729900,741900,767520,796380,820620,824280,835320
"10",10,"DeeDee Jonrowe","DeeDeeJonrowe",12900,16920,27180,45480,60240,63900,76740,94920,110340,131880,164400,180900,201660,205380,214140,305220,314460,319080,369240,385380,415920,427620,439440,443160,452940,481800,508380,520260,555000,571440,623460,644820,666600,677100,699960,711960,738840,751560,776820,805680,830100,833760,844500
"11",11,"Aaron Burmeister","AaronBurmeister",13500,17700,37800,41700,58080,74760,88260,92340,108180,125940,160020,175260,197100,200880,209040,300600,310260,314400,356520,375660,415500,419700,431520,435360,444120,472980,500760,514860,548640,562860,611040,628920,653700,667560,694500,708840,737940,753240,781080,809940,838980,842640,855420
"12",12,"Ken Anderson","KenAnderson",14220,18300,40260,44160,61080,74640,86880,101580,118020,122820,174000,188460,210780,214860,224220,317940,327300,331620,385860,397980,428160,432060,444360,473220,483840,487920,515820,532320,573000,598080,654360,667560,688920,693480,717240,730620,765720,775740,799740,828600,853980,857640,867780
"13",13,"Peter Kaiser","PeterKaiser",15360,19380,41700,45600,62820,74820,87780,102600,118740,123240,169800,187080,208260,211980,219900,313140,322620,326820,382860,387180,416520,445380,450600,458040,467880,490200,517740,539700,571800,591900,636840,663900,685740,697680,719580,735420,761760,773100,796320,825180,850560,854220,865320
"14",14,"Josh Cadzow","JoshCadzow",14040,18060,42540,46440,63420,79500,93120,105000,122160,126780,174360,193980,215100,302940,310920,314640,325080,334680,388020,403440,430740,459600,472200,475860,485040,500640,524280,542760,572700,598800,640680,663000,683100,694080,715440,736800,760320,769740,791220,820080,845160,848820,858180
"15",15,"Cim Smyth","CimSmyth",14580,18540,38100,42000,70500,74220,87420,102240,118140,122640,174420,192660,211260,215040,223860,312180,322020,326820,385260,390420,436080,440100,451260,480300,490140,493980,523620,550440,577020,600120,651840,679620,699420,705480,728220,751080,775320,783540,806460,835320,860280,863940,873060
"16",16,"Paul Gebhardt","PaulGebhardt",13020,17040,40920,44820,60360,64200,90000,94440,118620,122880,173640,192300,214020,217800,227220,320400,329760,333900,379380,393720,422880,441420,453060,456720,466800,496200,523200,535920,571860,592320,647520,665580,689760,702420,727380,746160,773160,785280,808500,837360,862980,866640,877920
"17",17,"Martin Buser","MartinBuser",13200,18060,27900,33300,48780,53940,67080,70800,85980,180180,227700,231720,251280,265500,274200,278280,288600,301680,349320,367200,397140,402000,415020,443880,452580,456780,489360,506520,548700,570840,641280,669240,690900,709980,733680,747360,773700,787500,811980,840840,866940,870600,882180
"18",18,"Jessie Royer","JessieRoyer",14280,18360,43440,47340,62580,75540,88020,91680,107460,128880,168960,184440,205380,209100,217440,308280,317820,322080,371100,385560,413940,429360,440640,444300,453240,468060,494880,509700,545400,574560,635580,664140,686880,700620,723900,745560,770280,778380,803220,832080,857880,861540,872820
"19",19,"Lance Mackey","LanceMackey",13800,17880,39300,43200,58380,62100,92580,96660,112620,137520,168360,186960,206340,210000,217800,237480,246240,250740,304200,398040,426780,430560,441960,470820,480780,484620,512700,527340,567300,602940,657960,670980,692700,706200,730920,746340,775260,788760,814680,843540,869580,873420,884820
"20",20,"Ramey Smyth","RameySmyth",15660,19680,32220,53160,70200,74100,106080,109740,128760,134160,183540,202740,226260,230460,239100,328980,338940,342900,397080,418740,449820,478680,493260,497580,507660,512280,558360,562500,600840,626640,673380,697800,718920,724020,746760,763800,787800,791520,815220,844080,868980,872700,881040
"21",21,"John Baker","JohnBaker",15780,19860,48180,52080,68340,86400,99780,103800,121560,140220,174480,192540,214560,218340,227040,320040,330360,334260,378300,397320,429420,433140,446760,475620,486300,490380,519780,535260,569400,587460,639840,667020,690420,700860,725580,743520,772020,783120,810960,839820,867300,871680,883860
"22",22,"Brent Sass","BrentSass",14220,18180,40440,44340,60300,64080,92280,102420,120060,124380,173700,192360,215520,219180,229140,316200,327060,331080,382560,401760,432000,460860,472440,476100,490560,504180,532800,546780,582180,604680,653400,677400,699660,703500,729180,751680,777600,781500,811920,840780,874860,878520,890940
"23",23,"Michael Williams, Jr.","MichaelWilliams,Jr.",14580,18540,29220,46620,62460,66120,79020,105900,121380,147420,180480,198420,220920,224700,233460,322440,331920,335880,389280,404940,432060,460920,474420,478080,488340,501240,526500,544560,580020,608640,656760,681420,702840,723420,746880,750780,777420,797100,821280,850140,875160,879000,891180
"24",24,"Michelle Phillips","MichellePhillips",13980,17940,28560,42120,58800,65880,78840,95460,111960,116760,166260,183600,205380,209100,218400,312060,321960,326580,380340,399960,429720,458700,469140,472800,487080,501960,528780,547260,581880,604560,652800,677700,699720,709200,733260,753540,781560,797700,821820,850680,877740,881460,893640
"25",25,"Jessica Hendricks","JessicaHendricks",14160,18240,42840,46740,76620,80340,101280,108900,126000,146580,189360,207480,226320,314520,321480,325140,334380,338460,395940,425340,449220,469860,482820,486480,496200,525060,548160,568860,605700,633420,684180,705420,723720,737520,759300,777960,799260,812280,835140,864000,883980,890040,900900
"26",26,"Kelley Griffin","KelleyGriffin",15180,19140,30360,46260,64740,68460,100380,104340,121320,140160,180840,197580,220980,224700,235020,328560,338580,342840,401280,420360,452100,481140,496380,500280,510720,525360,554940,572280,612720,638760,693540,699240,739620,744660,769080,789540,815100,829980,855120,884340,913680,917400,930780
