"","name","mean","n","median"
"1","Aaron Burmeister",19.625,16,16
"2","Aaron Peck",45.6666666666667,3,45
"3","Abbie West",18,1,18
"4","Al Crane",15,1,15
"5","Al Hardman",37.5,4,35
"6","Alan Eischens",58.3333333333333,3,60
"7","Alan Stevens",56,1,56
"8","Aleksandar Nikolich",53,1,53
"9","Alex Buetow",46,1,46
"10","Alex Sheldon",20.6666666666667,3,21
"11","Alexander Resnyuk",37,1,37
"12","Aliy Zirkle",14.7058823529412,17,14
"13","Allan Marple",31,1,31
"14","Allan Perry",11.3333333333333,3,11
"15","Allen Cheshire",37,2,37
"16","Allen Miller",43,1,43
"17","Allen Moore",33,9,33
"18","Andre Monnier",49,1,49
"19","Andrew Angstman",42,1,42
"20","Andrew Foxie",34,1,34
"21","Andrew Letzring",55,1,55
"22","Andy Moderow",17,1,17
"23","Andy Sterns",49,1,49
"24","Andy Willis",32.5,2,32.5
"25","Angie Taggart",45.5,2,45.5
"26","Anjanette Steer",26,1,26
"27","Anna Berington",38.8333333333333,6,40.5
"28","Anna Bondarenko",53,1,53
"29","Anne Capistrant",66,1,66
"30","Ararad Khatchikian",45,1,45
"31","Armen Khatchikian",44,1,44
"32","Art Church, Jr",37,3,40
"33","Barbara Moore",36,1,36
"34","Becca Moore",54.5,2,54.5
"35","Ben Jacobson",49,1,49
"36","Ben Stamm",58.5,2,58.5
"37","Benedikt Beisch",54,1,54
"38","Benjamin Harper",36,1,36
"39","Benoit Gerard",49,1,49
"40","Bernhard Schuchert",50,1,50
"41","Bernie Willis",30,1,30
"42","Bert Hanson",50,2,50
"43","Beth Manning",52,1,52
"44","Betsy McGuire",29,1,29
"45","Beverly Jerue Masek",26.3333333333333,3,23
"46","Bill Arpino",11,1,11
"47","Bill Bass",47,2,47
"48","Bill Borden",53,1,53
"49","Bill Cavaney",28,1,28
"50","Bill Chisholm",30,2,30
"51","Bill Cotter",16.4210526315789,19,15
"52","Bill Davidson",52.5,2,52.5
"53","Bill Gallea",41,1,41
"54","Bill Hall",35,6,33.5
"55","Bill Jack",23.5,2,23.5
"56","Bill Mackey",45,1,45
"57","Bill McKee",62,1,62
"58","Bill Rose",32,1,32
"59","Bill Steyer",47,1,47
"60","Bill Vaudrin",19,1,19
"61","Bill Yankee",39,1,39
"62","Billy Demoski",16,1,16
"63","Billy Snodgrass",44.25,4,46
"64","Bjornar Andersen",5,2,5
"65","Blake Freking",46.3333333333333,3,46
"66","Bob Bright",22,1,22
"67","Bob Chlupach",25.8333333333333,12,21
"68","Bob Ernissee",43,1,43
"69","Bob Hempstead",56,1,56
"70","Bob Hickel",46,3,42
"71","Bob Holder",36,4,32
"72","Bob Hoyte",38,1,38
"73","Bob Martin",25,1,25
"74","Bob Schlentner",10.6666666666667,3,8
"75","Bob Toll",22,1,22
"76","Bobby Lee",35,1,35
"77","Bobby Vent",2,1,2
"78","Brad Pozarnsky",51,1,51
"79","Braxton Peterson",28,1,28
"80","Brent Sass",18.3333333333333,3,20
"81","Brian Blandford",21,1,21
"82","Brian Johnson",48,1,48
"83","Brian O'Donoghue",60,1,60
"84","Brian Stafford",40,1,40
"85","Brian Wilmshurst",52,1,52
"86","Bruce Barton",31,1,31
"87","Bruce Denton",18.75,4,19.5
"88","Bruce Johnson",16.5,2,16.5
"89","Bruce Lee",17.8571428571429,7,17
"90","Bruce Linton",35.3333333333333,6,31.5
"91","Bruce Mitchell",21,1,21
"92","Bruce Moroney",48.5,2,48.5
"93","Bryan Bearss",37,1,37
"94","Bryan Imus",33,1,33
"95","Bryan Mills",43,3,44
"96","Bryan Moline",48,1,48
"97","Buck Church",54,1,54
"98","Bud Smyth",18.8,5,13
"99","Burt Bomhoff",25.5714285714286,7,26
"100","Cain Carter",35,1,35
"101","Caleb Banse",57,1,57
"102","Caleb Slemons",42,1,42
"103","Cali King",32,1,32
"104","Calvin Lauwers",36,1,36
"105","Carl Huntington",1,1,1
"106","Carla Kelly",39,1,39
"107","Catherine Mormile",58,1,58
"108","Celeste Davis",55,1,55
"109","Chad Lindner",30,1,30
"110","Chad Schouweiler",61,1,61
"111","Charley Bejna",40.3333333333333,3,41
"112","Charlie Boulding",11.0909090909091,11,7
"113","Charlie Fitka",24.5,2,24.5
"114","Charlie Harrington",26,1,26
"115","Chris Adkins",50,1,50
"116","Chris Camping",18,1,18
"117","Chris Converse",50,1,50
"118","Chris Deverill",34,1,34
"119","Chris Lund",49,1,49
"120","Christian Turner",26.5,2,26.5
"121","Christine O'Gar",32,1,32
"122","Christine Roalofs",54,1,54
"123","Christoph Harisberger",43,1,43
"124","Christopher Knott",20.5,2,20.5
"125","Chuck Schaeffer",51,1,51
"126","Cim Smyth",20.6923076923077,13,21
"127","Cindy Abbott",65,2,65
"128","Cindy Gallea",47,12,43
"129","Claire Philip",22.25,4,19.5
"130","Clarence Shockley",27,1,27
"131","Clarence Towarak",18,2,18
"132","Cliff Roberson",39,3,38
"133","Cliff Sisson",34,1,34
"134","Cliff Wang",69,1,69
"135","Clifton Jackson",22,1,22
"136","Clint Warnke",42.4,5,41
"137","Cody Strathe",36,2,36
"138","Colleen Robertia",28.5,2,28.5
"139","Connie Frerichs",39,1,39
"140","Connor Thomas",33,2,33
"141","Conrad Saussele",29,1,29
"142","Curt Perano",30.25,4,29.5
"143","Dag Torulf Olsen",30,1,30
"144","Dale Swartzentruber",32,1,32
"145","Dallas Seavey",10.9090909090909,11,4
"146","Dan Carter",49,1,49
"147","Dan Cowan",37,1,37
"148","Dan Dent",63,1,63
"149","Dan Govoni",44,2,44
"150","Dan Kaduce",26,2,26
"151","Dan MacEachen",22,6,21
"152","Dan Seavey",27.4,5,35
"153","Dan Zobrist",34,1,34
"154","Daniel Vetch",43,1,43
"155","Danny Seavey",43.3333333333333,3,43
"156","Dario Daniels",40,1,40
"157","Darrel Reynolds",20,1,20
"158","Darwin McLeod",22,1,22
"159","Dave Allen",30,1,30
"160","Dave Branholm",39,3,42
"161","Dave Breuer",44,2,44
"162","Dave DeCaro",51,1,51
"163","Dave Delcourt",50,1,50
"164","Dave Monson",13,3,13
"165","Dave Olesen",24.75,8,27
"166","Dave Olson",20,4,17
