"","musher","enRoute_Yentna","restTime_Yentna","enRoute_Skwentna","restTime_Skwentna","enRoute_Finger.Lake","restTime_Finger.Lake","enRoute_Rainy.Pass","restTime_Rainy.Pass","enRoute_Rohn","restTime_Rohn","enRoute_Nikolai","restTime_Nikolai","enRoute_McGrath","restTime_McGrath","enRoute_Takotna","restTime_Takotna","enRoute_Ophir","restTime_Ophir","enRoute_Iditarod","restTime_Iditarod","enRoute_Shageluk","restTime_Shageluk","enRoute_Anvik","restTime_Anvik","enRoute_Grayling","restTime_Grayling","enRoute_Eagle.Island","restTime_Eagle.Island","enRoute_Kaltag","restTime_Kaltag","enRoute_Unalakleet","restTime_Unalakleet","enRoute_Shaktoolik","restTime_Shaktoolik","enRoute_Koyuk","restTime_Koyuk","enRoute_Elim","restTime_Elim","enRoute_White.Mountain","restTime_White.Mountain","enRoute_Safety","restTime_Safety","enRoute_Nome"
"1","Aaron Burmeister","13500","4200","20100","3900","16380","16680","13500","4080","15840","17760","34080","15240","21840","3780","8160","91560","9660","4140","42120","19140","39840","4200","11820","3840","8760","28860","27780","14100","33780","14220","48180","17880","24780","13860","26940","14340","29100","15300","27840","28860","29040","3660","12780"
"2","Aaron Peck","15180","7860","11100","3900","26640","4920","12360","19320","16440","13920","59100","4260","21660","87720","8340","3900","9720","5580","56460","29220","39660","16860","15000","3780","10140","28860","26940","22440","56400","24780","43440","28500","22980","18180","22380","31620","25440","20460","24360","28920","25140","3660","12000"
"3","Aliy Zirkle","13680","3900","10500","13620","15780","3720","12540","20940","15000","4320","48720","15060","21840","3660","8220","91200","9000","4140","56160","4200","37800","4500","11700","3660","9180","28860","28080","14940","43260","4740","66540","15060","22080","11820","22320","14100","26340","6180","25140","28860","23820","3660","10860"
"4","Allen Moore","14460","4140","16560","3900","29880","3840","13020","22380","16020","4920","56220","21660","21000","3780","9420","88680","9780","3840","58560","26280","26700","28860","13680","4080","9420","23700","24360","22500","55020","22140","59400","21780","20040","20460","19200","28080","20460","19560","20280","28860","21840","3660","10080"
"5","Angie Taggart","16140","4200","12360","28620","19320","19680","16860","24660","17700","27660","48900","26100","23580","89640","8880","3960","10860","17820","53100","35100","30600","31200","15060","4500","10260","25920","34320","32460","34620","33960","40380","35880","23400","24840","22800","27120","21840","25740","26400","29040","26220","3900","12840"
"6","Anna Berington","14700","4200","23460","3900","17160","15420","16620","13560","18060","18300","52560","21240","23100","6300","7740","92160","9900","4500","67320","23460","32940","29760","12420","3780","9240","22680","33780","28980","37320","29520","55920","20280","21120","18180","22920","24180","22980","20100","26220","29040","23940","3720","11520"
"7","Bob Chlupach","15960","3720","31200","8400","38820","3720","19200","24900","17640","21660","61440","23220","23820","89280","8520","3900","11760","23880","91440","25860","70740","35760","13680","3660","10980","34620","36660","46320","46680","17280","62520","21660","19800","28380","22440","25560","21420","26760","23280","29820","26040","4200","11280"
"8","Brent Sass","14220","3960","22260","3900","15960","3780","28200","10140","17640","4320","49320","18660","23160","3660","9960","87060","10860","4020","51480","19200","30240","28860","11580","3660","14460","13620","28620","13980","35400","22500","48720","24000","22260","3840","25680","22500","25920","3900","30420","28860","34080","3660","12420"
"9","Christine Roalofs","16500","16200","13020","16320","18540","24000","16740","24780","17160","30540","52620","35580","23880","91080","9240","4440","10140","20220","68460","37200","54480","30120","15960","3840","10680","23340","46680","36300","34020","31080","68520","30000","20760","11220","26940","34860","26340","30180","27540","29700","55620","4680","11700"
"10","Cim Smyth","14580","3960","19560","3900","28500","3720","13200","14820","15900","4500","51780","18240","18600","3780","8820","88320","9840","4800","58440","5160","45660","4020","11160","29040","9840","3840","29640","26820","26580","23100","51720","27780","19800","6060","22740","22860","24240","8220","22920","28860","24960","3660","9120"
"11","Cindy Gallea","14340","4020","11340","23220","17100","20460","14040","26580","16980","23520","58020","5400","39420","3720","9840","92940","10260","4680","75660","36420","34560","31740","16980","3660","12240","28860","40560","33300","63900","22500","69600","14700","22800","26520","28200","24900","25560","23460","30900","34320","28860","4020","21660"
"12","Curt Perano","15300","4380","25680","4380","32880","3720","15900","19440","16980","4500","55680","21900","22380","3840","9180","89100","10200","4260","57420","21240","28320","29160","13140","3720","9000","20040","25260","22680","37080","23880","57900","16380","21120","17820","22380","18480","24360","14220","23700","28860","25500","3660","10740"
"13","Dallas Seavey","14580","4080","24240","3900","16020","14460","12360","14460","15780","4140","47940","14760","20400","3720","8040","92160","9180","3960","50460","14280","26640","28860","11340","4320","8820","15180","25440","15060","38640","4260","69360","14340","20460","11100","21660","15600","22800","9780","23640","28860","23220","3660","9720"
"14","DeeDee Jonrowe","12900","4020","10260","18300","14760","3660","12840","18180","15420","21540","32520","16500","20760","3720","8760","91080","9240","4620","50160","16140","30540","11700","11820","3720","9780","28860","26580","11880","34740","16440","52020","21360","21780","10500","22860","12000","26880","12720","25260","28860","24420","3660","10740"
"15","Gerald Sousa","14280","3720","29100","4560","17160","15600","14040","17100","17580","88560","31920","21360","22020","35580","11040","18900","9660","4380","57120","33300","29280","28860","11940","5400","9240","26580","33840","31200","35700","21420","69480","31080","19920","36120","20040","24600","20460","34380","24960","38700","22500","4260","10680"
"16","Jake Berkowitz","15240","4080","21360","3900","15780","10740","13260","14640","16500","4080","44580","17940","19920","3660","7680","3720","9120","89160","48300","11100","27840","14520","11100","3660","8100","28920","25680","14460","33660","15960","56880","22620","21540","13740","21840","14460","25620","14220","24540","28860","26340","3660","10140"
"17","James Volek","15420","20400","9180","17760","19020","23700","15480","23160","17160","24420","57720","33300","21720","31860","9600","88320","10200","4020","81180","65040","33780","30180","13500","3660","8760","30180","30000","29700","44940","24660","59640","23520","17820","20340","21900","32880","22620","26280","26400","28860","25380","3840","12000"
"18","Jeff King","13980","3960","10620","19200","15180","6480","12060","15900","15120","4680","50940","25500","20100","3720","8100","17760","9180","4200","58560","92280","24840","3660","10080","13140","9000","4920","26580","30120","33420","17400","41460","12900","22380","10980","21840","3960","43800","12120","25080","28860","24180","3660","9900"
"19","Jessica Hendricks","14160","4080","24600","3900","29880","3720","20940","7620","17100","20580","42780","18120","18840","88200","6960","3660","9240","4080","57480","29400","23880","20640","12960","3660","9720","28860","23100","20700","36840","27720","50760","21240","18300","13800","21780","18660","21300","13020","22860","28860","19980","6060","10860"
"20","Jessie Royer","14280","4080","25080","3900","15240","12960","12480","3660","15780","21420","40080","15480","20940","3720","8340","90840","9540","4260","49020","14460","28380","15420","11280","3660","8940","14820","26820","14820","35700","29160","61020","28560","22740","13740","23280","21660","24720","8100","24840","28860","25800","3660","11280"
"21","Jim Lanier","12780","4140","10260","15300","17700","7740","14640","15060","17820","5400","69300","4320","22920","23820","8400","4140","13320","22800","68700","87360","26580","18960","14460","4980","8160","19080","26040","31560","51780","20100","55800","6720","21960","23520","22020","19680","26100","19740","22560","32520","24780","3720","11760"
"22","Joar Leifseth Ulsom","15120","3780","11760","13080","15660","9840","12480","14280","15660","19380","31200","16440","20640","3720","8580","90600","9480","3900","46380","15420","27000","3960","11640","28860","9300","4200","28260","17280","34680","14460","59040","13680","24060","9720","26100","17580","27420","11760","25080","28860","26880","3660","10080"
"23","Jodi Bailey","13740","4260","23940","4500","15720","17340","13500","12300","19740","19320","50280","22020","22800","4980","9540","4620","24960","93960","60840","23880","48420","28860","13140","7380","9960","4980","47820","19320","54060","4740","56700","21900","20460","13500","25860","24240","26220","19560","26100","29040","23220","4200","11820"
"24","John Baker","15780","4080","28320","3900","16260","18060","13380","4020","17760","18660","34260","18060","22020","3780","8700","93000","10320","3900","44040","19020","32100","3720","13620","28860","10680","4080","29400","15480","34140","18060","52380","27180","23400","10440","24720","17940","28500","11100","27840","28860","27480","4380","12180"
"25","Josh Cadzow","14040","4020","24480","3900","16980","16080","13620","11880","17160","4620","47580","19620","21120","87840","7980","3720","10440","9600","53340","15420","27300","28860","12600","3660","9180","15600","23640","18480","29940","26100","41880","22320","20100","10980","21360","21360","23520","9420","21480","28860","25080","3660","9360"
