Year,Susan Butcher,Rick Swenson,Martin Buser,Jeff King,Doug Swingley,Lance Mackey,Dallas Seavey,Mitch Seavey
1,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
4,0,2,0,1,1,0,0,0
5,0,2,0,1,1,0,0,0
6,0,3,0,1,1,1,1,0
7,0,4,0,2,1,2,1,0
8,0,4,0,2,2,3,2,0
9,1,4,1,3,3,4,3,0
10,2,4,1,3,4,null,4,0
11,3,4,2,3,null,null,null,1
12,3,4,2,3,null,null,null,1
13,4,4,2,3,null,null,null,1
14,null,4,3,3,null,null,null,1
15,null,4,3,3,null,null,null,1
16,null,5,3,3,null,null,null,1
17,null,null,3,4,null,null,null,1
18,null,null,3,null,null,null,null,1
19,null,null,4,null,null,null,null,1
20,null,null,null,null,null,null,null,2
21,null,null,null,null,null,null,null,2
22,null,null,null,null,null,null,null,2
23,null,null,null,null,null,null,null,2
24,null,null,null,null,null,null,null,3
