"num","Year","winner","time","duration"
"1",2017,"Mitch Seavey","8d 3h 40m 13s",704413
"2",2016,"Dallas Seavey","8d 11h 20m 16s",732016
"3",2015,"Dallas Seavey","8d 18h 13m 6s",756786
"4",2014,"Dallas Seavey","8d 13h 4m 19s",738259
"5",2013,"Mitch Seavey","9d 7h 39m 56s",805196
"6",2012,"Dallas Seavey","9d 4h 29m 26s",793766
"7",2011,"John Baker","8d 18h 46m 39s",758799
"8",2010,"Lance Mackey","8d 23h 59m 9s",777549
"9",2009,"Lance Mackey","9d 21h 38m 46s",855526
"10",2008,"Lance Mackey","9d 11h 46m 48s",820008
"11",2007,"Lance Mackey","9d 5h 8m 41s",796121
"12",2006,"Jeff King","9d 11h 11m 36s",817896
"13",2005,"Robert Sorlie","9d 18h 39m 31s",844771
"14",2004,"Mitch Seavey","9d 12h 20m 22s",822022
"15",2003,"Robert Sorlie","9d 15h 47m 36s",834456
"16",2002,"Martin Buser","8d 22h 46m 2s",773162
"17",2001,"Doug Swingley","9d 19h 55m 50s",849350
"18",2000,"Doug Swingley","9d 0h 58m 6s",784686
"19",1999,"Doug Swingley","9d 14h 31m 7s",829867
"20",1998,"Jeff King","9d 5h 52m 26s",798746
"21",1997,"Martin Buser","9d 8h 30m 45s",808245
"22",1996,"Jeff King","9d 5h 43m 0s",798181
"23",1995,"Doug Swingley","9d 2h 42m 19s",787339
"24",1994,"Martin Buser","10d 13h 2m 39s",910959
"25",1993,"Jeff King","10d 15h 38m 15s",920295
"26",1992,"Martin Buser","10d 19h 17m 15s",933435
"27",1991,"Rick Swenson","12d 16h 34m 39s",1096479
"28",1990,"Susan Butcher","11d 1h 53m 23s",957203
"29",1989,"Joe Runyan","11d 5h 24m 34s",969874
"30",1988,"Susan Butcher","11d 11h 41m 40s",992500
"31",1987,"Susan Butcher","11d 2h 5m 13s",957913
"32",1986,"Susan Butcher","11d 15h 6m 0s",1004761
"33",1985,"Libby Riddles","18d 0h 20m 17s",1560017
"34",1984,"Dean Osmar","12d 15h 7m 33s",1091253
"35",1983,"Rick Mackey","12d 14h 10m 44s",1087844
"36",1982,"Rick Swenson","16d 4h 40m 10s",1399210
"37",1981,"Rick Swenson","12d 8h 45m 2s",1068302
"38",1980,"Joe May","14d 7h 11m 51s",1235511
"39",1979,"Rick Swenson","15d 10h 37m 47s",1334267
"40",1978,"Dick Mackey","14d 18h 52m 24s",1277544
"41",1977,"Rick Swenson","16d 16h 27m 13s",1441633
"42",1976,"Jerry Riley","18d 22h 58m 17s",1637897
"43",1975,"Emmitt Peters","14d 14h 43m 15s",1262595
"44",1974,"Carl Huntington","20d 15h 1m 7s",1782067
"45",1973,"Dick Wilmarth","20d 0h 49m 41s",1734581
